,JobTitle,Company,Location,PostDate,JobUrl
19,for  __Data Scientist  Mumbai,Morpheus Human Consulting Pvt Ltd,Mumbai City,2 weeks ago,https://www.shine.com//jobs/job-for-data-scientist-mumbai-permanent/morpheus-human-consulting-pvt-ltd/12698948
20,Data analyst / Data scientist,GFL RECRUITMENT PRIVATE LIMITED,Mumbai City,2 weeks ago,https://www.shine.com//jobs/data-analyst-data-scientist-permanent/gfl-recruitment-private-limited/12696792
21,Data Scientist,Topgear Consultants Private Limited,Navi Mumbai,1 month ago,https://www.shine.com//jobs/data-scientist-permanent/topgear-consultants-private-limited/12662891/
22,Data Scientist Recruitment,Kavya Staffing Solutions,Navi Mumbai,2 months ago,https://www.shine.com//jobs/data-scientist-recruitment-permanent/kavya-staffing-solutions/12658543/
23,Data Scientist Recruitment,Kavya Staffing Solutions,Navi Mumbai,2 months ago,https://www.shine.com//jobs/data-scientist-recruitment-permanent/kavya-staffing-solutions/12658428/
24,Hiring for Data Scientist - mumbai,Topgear Consultants Private Limited,Mumbai City,2 months ago,https://www.shine.com//jobs/hiring-for-data-scientist-mumbai-permanent/topgear-consultants-private-limited/12651438/
25,Hiring For Data Scientist,Kavya Staffing Solutions,Mumbai City,2 months ago,https://www.shine.com//jobs/hiring-for-data-scientist-permanent/kavya-staffing-solutions/12654064/
26,Data Scientist,Topgear Consultants Private Limited,Mumbai City,2 months ago,https://www.shine.com//jobs/data-scientist-permanent/topgear-consultants-private-limited/12651321/
27,Hiring For Data Scientist,Kavya Staffing Solutions,Navi Mumbai,2 months ago,https://www.shine.com//jobs/hiring-for-data-scientist-permanent/kavya-staffing-solutions/12652465/
28,Data Scientist  Management Consulting - Mumbai,Morpheus Human Consulting Pvt Ltd,Mumbai City,2 months ago,https://www.shine.com//jobs/data-scientist-management-consulting-mumbai-permanent/morpheus-human-consulting-pvt-ltd/12644183/
29,Data Scientist - Spark/Python/Redshift,BOYEN HADDIN CONSULTING AND TECHNOL...,Mumbai City,2 months ago,https://www.shine.com//jobs/data-scientist-sparkpythonredshift-permanent/boyen-haddin-consulting-and-technology-private-limited/12642815/
30,"Data Analytics- Associate (SQL, Alteryx and Python)",JPMorgan,Mumbai City,"Premium
              

               3 days ago",https://www.shine.com//jobs/data-analytics-associate-sql-alteryx-and-python-permanent/jpmorgan/12719591
31,Data Analyst Recruitment,AKSHITA INTERPRISES,Mumbai City,1 week ago,https://www.shine.com//jobs/data-analyst-recruitment-permanent/akshita-interprises/12709746
32,Data Analyst Recruitment,AKSHITA INTERPRISES,Navi Mumbai,1 week ago,https://www.shine.com//jobs/data-analyst-recruitment-permanent/akshita-interprises/12709722
33,Lead Data analyst at Mumbai,PES HR Services,Mumbai City,"Hot
              

               1 day ago",https://www.shine.com//jobs/lead-data-analyst-at-mumbai-permanent/pes-hr-services/12722038
34,Clinical Data Management,TECHNO ENDURA,Mumbai City,6 days ago,https://www.shine.com//jobs/clinical-data-management-permanent/techno-endura/12713332
35,Data analyst / Data scientist,GFL RECRUITMENT PRIVATE LIMITED,Mumbai City,2 weeks ago,https://www.shine.com//jobs/data-analyst-data-scientist-permanent/gfl-recruitment-private-limited/12596258/
36,Senior Associate- Data Owner (Card Lending),JPMorgan,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/senior-associate-data-owner-card-lending-permanent/jpmorgan/12716130
37,Lead Data engineer at Kolkata,PES HR Services,Mumbai City,"Hot
              

               0 days ago",https://www.shine.com//jobs/lead-data-engineer-at-kolkata-permanent/pes-hr-services/12722780
38,LEAD DATA ENGINEER at KOLKATA,PES HR Services,Mumbai City,"Hot
              

               1 day ago",https://www.shine.com//jobs/lead-data-engineer-at-kolkata-permanent/pes-hr-services/12722454
39,Lead data engineer at KOLKATA,PES HR Services,Mumbai City,"Hot
              

               1 day ago",https://www.shine.com//jobs/lead-data-engineer-at-kolkata-permanent/pes-hr-services/12722191
40,Hire DATA SCIENTIST- MIS EXECUTIVE,H K Jewels  Private Limited,Mumbai City,3 weeks ago,https://www.shine.com//jobs/hire-data-scientist-mis-executive-permanent/h-k-jewels-private-limited/12682424
41,ASSOCIATE -CREDIT RISK DATA CONTROL(CRDC)-CREDIT RISK D ...,Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/associate-credit-risk-data-controlcrdc-credit-risk-division-permanent/morgan-stanley-advantage-services-pvt-ltd/12708825
42,SAP Master Data Migration Application Developer,Accenture,Mumbai City,"Premium
              

               7 days ago",https://www.shine.com//jobs/sap-master-data-migration-application-developer-permanent/accenture/12711069
43,Specialist-Data Center Operations,NTT Limited,Mumbai City,"Premium
              

               2 days ago",https://www.shine.com//jobs/specialist-data-center-operations-permanent/ntt-limited/12719832
44,GCP Data Architect with PreSales,Arminus,Mumbai City,4 days ago,https://www.shine.com//jobs/gcp-data-architect-with-presales-permanent/arminus/12717521
45,Databricks Unified Data Analytics Platform Data Platfor ...,Accenture,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/databricks-unified-data-analytics-platform-data-platform-engineer-permanent/accenture/12707428
46,Asset Management Marketing Intelligence,JPMorgan,Mumbai City,"Premium
              

               3 days ago",https://www.shine.com//jobs/asset-management-marketing-intelligence-permanent/jpmorgan/12719589
47,GCP Data Engineer,CAPGEMINI TECHNOLOGY SERVICES INDIA...,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/gcp-data-engineer-permanent/capgemini-technology-services-india-limited/12717755
48,Hiring For Data Analyst,AKSHITA INTERPRISES,Navi Mumbai,2 weeks ago,https://www.shine.com//jobs/hiring-for-data-analyst-permanent/akshita-interprises/12695658
49,Snowflake Data Modeler,Arminus,Mumbai City,1 week ago,https://www.shine.com//jobs/snowflake-data-modeler-permanent/arminus/12707566
50,Data Centre Engineer,Paytm,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/data-centre-engineer-permanent/paytm/12716150
51,Google BigQuery Data Platform Engineer,Accenture,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/google-bigquery-data-platform-engineer-permanent/accenture/12707422
52,Credit Risk (Risk Management),Morgan Stanley Advantage Services P...,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/credit-risk-risk-management-permanent/morgan-stanley-advantage-services-pvt-ltd/12716237
53,Data Solutions - ESG Analytics and Portfolio Insights A ...,JPMorgan,Mumbai City,"Premium
              

               1 week ago",https://www.shine.com//jobs/data-solutions-esg-analytics-and-portfolio-insights-associate-permanent/jpmorgan/12708707
54,Quantitative Analytics - Digital Customer Experience,JPMorgan,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/quantitative-analytics-digital-customer-experience-permanent/jpmorgan/12716125
55,Accounting Control Data Trace and Control Analyst,Bnp Paribas,Mumbai City,7 days ago,https://www.shine.com//jobs/accounting-control-data-trace-and-control-analyst-permanent/bnp-paribas/12712398
56,Senior Associate - Financial Accounting,NTT Limited,Mumbai City,"Premium
              

               2 days ago",https://www.shine.com//jobs/senior-associate-financial-accounting-permanent/ntt-limited/12719833
57,Regional MIS - Senior Associate,Paytm,Mumbai City,"Premium
              

               5 days ago",https://www.shine.com//jobs/regional-mis-senior-associate-permanent/paytm/12716144
58,Remote  _Data Entry Specialists,MNR Solutions Pvt Ltd,Mumbai City,1 week ago,https://www.shine.com//jobs/remote-data-entry-specialists-permanent/mnr-solutions-pvt-ltd/12707246
